n00007846   person
n00021939   artifact
n00120010   hop
n00288000   dressage
n00433458   contact sport
n00439826   track and field
n00440039   track
n00440747   skiing
n00445226   water-skiing
n00446411   in-fighting
n00448640   ice skating
n00448748   figure skating
n00449295   racing
n00449695   boat racing
n00451635   motorcycling
n00453126   coursing
n00454983   fly casting
n00455173   surf casting
n00464894   golf
n00467320   quoits
n00467536   shuffleboard
n00467719   field game
n00467995   field hockey
n00468299   shinny
n00470830   hurling
n00476389   cricket
n00477639   polo
n00480211   volleyball
n00480993   basketball
n00483313   singles
n00483508   doubles
n00483705   royal tennis
n00887544   team sport
n01316579   bottom-feeder
n01316949   work animal
n01318053   stocker
n01318279   hatchling
n01319001   stayer
n01321123   hen
n01321770   orphan
n01323355   sire
n01323781   giant
n01326291   microorganism
n01379389   staphylococcus
n01389507   protozoan
n01392380   ameba
n01396617   stentor
n01404365   fucoid
n01416213   zooid
n01422335   trophozoite
n01440764   tench
n01441425   shiner
n01442710   rudd
n01447658   rivulus
n01448951   topminnow
n01450661   squirrelfish
n01483830   porbeagle
n01486838   nurse shark
n01489501   bull shark
n01489709   sandbar shark
n01491874   dogfish
n01492569   smoothhound
n01500476   Atlantic manta
n01514668   cock
n01514926   nester
n01525720   oscine
n01527347   hedge sparrow
n01528845   meadow pipit
n01529672   finch
n01530439   chaffinch
n01530575   brambling
n01536780   swamp sparrow
n01537544   indigo bunting
n01540233   grosbeak
n01542168   chewink
n01549886   phoebe
n01551080   cock of the rock
n01556514   thickhead
n01557185   thrush
n01559160   clay-colored robin
n01559804   wood thrush
n01560105   nightingale
n01564773   blackcap
n01569423   myrtle warbler
n01572782   orchard oriole
n01574045   New World blackbird
n01574560   purple grackle
n01579028   crow
n01581166   Canada jay
n01584225   wren
n01585715   rock wren
n01586020   Carolina wren
n01586374   cactus wren
n01592694   blue tit
n01599269   northern shrike
n01603152   blue-headed vireo
n01603953   Bohemian waxwing
n01606978   chicken hawk
n01607600   rough-legged hawk
n01609751   harrier
n01610552   harrier eagle
n01612275   pigeon hawk
n01613807   eaglet
n01614556   tawny eagle
n01615303   Kamchatkan sea eagle
n01616318   vulture
n01618082   black vulture
n01620735   king vulture
n01622352   horned owl
n01625121   laughing owl
n01629962   spotted salamander
n01630148   alpine salamander
n01631354   rough-skinned newt
n01632777   axolotl
n01633406   hellbender
n01636352   eastern red-backed salamander
n01638329   limestone salamander
n01639765   frog
n01642257   pickerel
n01642539   grass frog
n01646902   Eurasian green toad
n01647303   Texas toad
n01648620   fire-bellied toad
n01652026   chorus frog
n01661091   reptile
n01662784   turtle
n01664492   Atlantic ridley
n01665932   snapping turtle
n01669191   box turtle
n01669372   Western box turtle
n01674216   saurian
n01675722   banded gecko
n01676755   iguanid
n01677747   marine iguana
n01681940   horned lizard
n01687128   teju
n01687290   caiman lizard
n01690466   glass lizard
n01692523   beaded lizard
n01694178   African chameleon
n01697611   Asian crocodile
n01714231   allosaur
n01723579   pterodactyl
n01730307   rough green snake
n01730812   racer
n01732989   chicken snake
n01734104   pine snake
n01741232   indigo snake
n01742447   rubber boa
n01742821   rosy boa
n01743936   carpet snake
n01745484   coral snake
n01748686   black-necked cobra
n01749244   ringhals
n01749582   mamba
n01749742   black mamba
n01751748   sea snake
n01755581   diamondback
n01756291   sidewinder
n01757901   ground rattler
n01767661   arthropod
n01773797   garden spider
n01775370   European wolf spider
n01783017   myriapod
n01793159   layer
n01793435   Rhode Island red
n01795545   black grouse
n01796105   greyhen
n01797601   sage grouse
n01798706   greater prairie chicken
n01800424   chachalaca
n01800633   Texas chachalaca
n01803641   afropavo
n01803893   argus
n01804163   golden pheasant
n01807828   Hungarian partridge
n01808140   red-legged partridge
n01808291   Greek partridge
n01812866   band-tailed pigeon
n01814370   domestic pigeon
n01814620   fairy swallow
n01817953   African grey
n01818299   amazon
n01820801   varied Lorikeet
n01823013   cuckoo
n01827403   kingfisher
n01831360   tody
n01832493   European swift
n01833805   hummingbird
n01836087   whippoorwill
n01839598   flicker
n01839949   gilded flicker
n01840120   red-shafted flicker
n01841679   wryneck
n01843383   toucan
n01844231   trogon
n01848648   widgeon
n01849157   pintail
n01850873   canvasback
n01852671   muscovy duck
n01853870   old squaw
n01854415   merganser
n01855672   goose
n01856072   gosling
n01856155   gander
n01856380   Chinese goose
n01858281   coscoroba
n01859190   mute swan
n01861778   mammal
n01874928   opossum
n01879509   tree wallaby
n01880473   potoroo
n01885158   pouched mouse
n01887896   calf
n01888264   buck
n01903346   scute
n01904029   plastron
n01910252   medusa
n01914830   actinia
n01915811   coral
n01917289   brain coral
n01924916   flatworm
n01927456   tapeworm
n01934440   annelid
n01940736   mollusk
n01944955   garden snail
n01947139   neritina
n01947997   moon shell
n01949085   common limpet
n01958038   quahog
n01959492   giant clam
n01961985   pearl oyster
n01963317   ark shell
n01976957   crab
n01978136   soft-shell crab
n01979874   blue crab
n01982068   European spider crab
n01982347   giant crab
n01984245   Norway lobster
n01987076   snapping shrimp
n01987545   prawn
n01990800   isopod
n01995514   fairy shrimp
n02003204   marabou
n02006364   sacred ibis
n02006985   common spoonbill
n02008643   great white heron
n02009229   little blue heron
n02010728   black-crowned night heron
n02011460   bittern
n02012849   crane
n02014237   crested cariama
n02014524   chunga
n02015797   corncrake
n02016358   gallinule
n02017475   American gallinule
n02022684   shorebird
n02026629   surfbird
n02027075   spotted sandpiper
n02027492   red-backed sandpiper
n02028035   redshank
n02029706   upland sandpiper
n02030035   ruff
n02030224   reeve
n02031585   American woodcock
n02031934   snipe
n02032480   great snipe
n02034971   black-necked stilt
n02035402   white-headed stilt
n02037869   red phalarope
n02043333   sea swallow
n02046759   guillemot
n02046939   black guillemot
n02050313   great crested grebe
n02052204   white pelican
n02052775   frigate bird
n02053425   solan
n02053584   booby
n02057330   rock hopper
n02058221   albatross
n02059162   petrel
n02060889   storm petrel
n02062430   cetacean
n02063662   right whale
n02064338   rorqual
n02065263   sei whale
n02070430   porpoise
n02071028   grampus
n02071636   pilot whale
n02074367   dugong
n02076779   eared seal
n02077923   sea lion
n02083346   canine
n02085272   lapdog
n02085620   Chihuahua
n02087122   hunting dog
n02087551   hound
n02088364   beagle
n02089555   foxhound
n02089973   English foxhound
n02090721   Irish wolfhound
n02090827   greyhound
n02092468   terrier
n02093859   Kerry blue terrier
n02095050   fox terrier
n02095889   Sealyham terrier
n02096051   Airedale
n02096294   Australian terrier
n02096756   schnauzer
